GivenName,SurnameCount,Female,Male,Gender,pVal
久実子,2,2,0,f,0.044897086918354
久仁子,5,5,0,f,0.000427115563070402
久代,5,5,0,f,0.000427115563070402
久美,48,46,2,f,0.00100000004749745
久美恵,2,2,0,f,0.044897086918354
久美子,131,131,0,f,0.00100000004749745
久夫,14,0,14,m,0.0356632508337498
久雄,21,0,21,m,0.00673490390181541
久留美,3,3,0,f,0.00951321329921484
弓子,10,10,0,f,1.82427712047684E-07
弓枝,2,2,0,f,0.044897086918354
亨,69,0,69,m,0.00100000004749745
享,16,0,16,m,0.0221511032432318
享子,7,7,0,f,1.91762446775101E-05
京,4,3,1,f,0.0320056080818176
京華,2,2,0,f,0.044897086918354
京子,71,71,0,f,0.00100000004749745
共子,3,3,0,f,0.00951321329921484
匡,14,0,14,m,0.0356632508337498
匡美,2,1,1,b,0.378881573677063
強,22,0,22,m,0.00530784949660301
恭,6,1,5,b,0.626161813735962
恭一,13,0,13,m,0.0452515780925751
恭佳,2,2,0,f,0.044897086918354
恭子,70,70,0,f,0.00100000004749745
恭代,3,3,0,f,0.00951321329921484
恭平,39,0,39,m,0.0020000000949949
教子,8,8,0,f,4.06324170398875E-06
郷子,3,3,0,f,0.00951321329921484
響,8,1,7,b,0.468950062990189
響子,2,2,0,f,0.044897086918354
暁,30,2,28,b,0.0540000014007092
暁子,22,22,0,f,1.49416918945102E-15
暁美,4,4,0,f,0.00201574829407036
玉枝,2,2,0,f,0.044897086918354
均,59,0,59,m,0.00100000004749745
欣也,15,0,15,m,0.0281065888702869
琴,2,2,0,f,0.044897086918354
琴音,2,2,0,f,0.044897086918354
琴海,2,2,0,f,0.044897086918354
琴江,2,2,0,f,0.044897086918354
琴乃,5,5,0,f,0.000427115563070402
琴美,3,3,0,f,0.00951321329921484
銀,2,1,1,b,0.378881573677063
空,5,3,2,b,0.0674585998058319
勲,58,0,58,m,0.00100000004749745
君子,4,4,0,f,0.00201574829407036
